央视,#genre#
四川卫视,http://www.frankgb.cn:4022/udp/239.49.8.110:8000
山东卫视,http://www.frankgb.cn:4022/udp/239.49.8.7:9306
山西卫视,http://www.frankgb.cn:4022/udp/239.49.1.55:8000
天津卫视,http://www.frankgb.cn:4022/udp/239.49.8.35:8620
安徽卫视,http://www.frankgb.cn:4022/udp/239.49.8.80:8000
重庆卫视,http://www.frankgb.cn:4022/udp/239.49.8.57:9830
东南卫视,http://www.frankgb.cn:4022/udp/239.49.8.112:8000
河北卫视,http://www.frankgb.cn:4022/udp/239.49.8.114:8000
湖北卫视,http://www.frankgb.cn:4022/udp/239.49.8.8:9632
河南卫视,http://www.frankgb.cn:4022/udp/239.49.8.29:8000
江西卫视,http://www.frankgb.cn:4022/udp/239.49.8.111:8000
广西卫视,http://www.frankgb.cn:4022/udp/239.49.8.10:8000
海南卫视,http://www.frankgb.cn:4022/udp/239.49.8.83:8000
辽宁卫视,http://www.frankgb.cn:4022/udp/239.49.8.48:8000
黑龙江卫视,http://www.frankgb.cn:4022/udp/239.49.8.14:9426
吉林卫视,http://www.frankgb.cn:4022/udp/239.49.8.113:8000
云南卫视,http://www.frankgb.cn:4022/udp/239.49.0.177:8000
贵州卫视,http://www.frankgb.cn:4022/udp/239.49.8.49:8000
甘肃卫视,http://www.frankgb.cn:4022/udp/239.49.0.250:8000
青海卫视,http://www.frankgb.cn:4022/udp/239.49.0.81:8000
宁夏卫视,http://www.frankgb.cn:4022/udp/239.49.1.60:8000
三沙卫视,http://www.frankgb.cn:4022/udp/239.49.0.167:8000
西藏卫视,http://www.frankgb.cn:4022/udp/239.49.1.56:8000
新疆卫视,http://www.frankgb.cn:4022/udp/239.49.1.57:8000
兵团卫视,http://www.frankgb.cn:4022/udp/239.49.1.58:8000

河北卫视,http://222.223.41.27:8888/hls/16/index.m3u8
北京卫视,http://222.223.41.27:8888/hls/31/index.m3u8
天津卫视,http://222.223.41.27:8888/hls/32/index.m3u8
东方卫视,http://222.223.41.27:8888/hls/42/index.m3u8
重庆卫视,http://222.223.41.27:8888/hls/43/index.m3u8
湖南卫视,http://222.223.41.27:8888/hls/27/index.m3u8
浙江卫视,http://222.223.41.27:8888/hls/28/index.m3u8
江苏卫视,http://222.223.41.27:8888/hls/29/index.m3u8
山东卫视,http://222.223.41.27:8888/hls/34/index.m3u8
河南卫视,http://222.223.41.27:8888/hls/36/index.m3u8
吉林卫视,http://222.223.41.27:8888/hls/47/index.m3u8
辽宁卫视,http://222.223.41.27:8888/hls/33/index.m3u8
安徽卫视,http://222.223.41.27:8888/hls/30/index.m3u8
四川卫视,http://222.223.41.27:8888/hls/37/index.m3u8
江西卫视,http://222.223.41.27:8888/hls/38/index.m3u8
贵州卫视,http://222.223.41.27:8888/hls/39/index.m3u8
深圳卫视,http://222.223.41.27:8888/hls/40/index.m3u8
湖北卫视,http://222.223.41.27:8888/hls/41/index.m3u8
东南卫视,http://222.223.41.27:8888/hls/44/index.m3u8
广东卫视,http://222.223.41.27:8888/hls/45/index.m3u8
广西卫视,http://222.223.41.27:8888/hls/46/index.m3u8

江西卫视,http://113.195.172.192:1808/hls/140/index.m3u8
北京卫视,http://113.195.172.192:1808/hls/185/index.m3u8
湖南卫视,http://113.195.172.192:1808/hls/181/index.m3u8
浙江卫视,http://113.195.172.192:1808/hls/182/index.m3u8
东方卫视,http://113.195.172.192:1808/hls/183/index.m3u8
